Species,F.SDF,F.SSDF,F.SF,F.IF,F.PR,F.SL,F.GR,F.PA,F.SC,F.PH,EP.EF,EP.I,EP.EZ,EP.D,EP.P,AM.SW,AM.CR,AM.BU,AM.SE,DT.C,DT.H,DT.D,DT.PH,LD.D,LD.L,LD.P,SD.G,SD.HSEQ,SD.HSYN,AL,MA,FEC,MSG,ADP
Burrowing.anemones.Aipmut_Cerspp_Mesmit,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,6,2,2,3,1
Calliactis.parasitica,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0.5,0,0.5,6,2,2,2,1
Callionymus.lyra,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,2,4,4,6
Calliostoma.zizyphinum,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,3,2,4,2,5
Cancer.pagurus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,6,5,6,4,2
Caryophyllia.smithii,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,5,1,4,2,1
Cellaria.fistulosa,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,3,1,6,2,1
Cellepora.pumicosa,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,3,1,6,2,1
Centrolabrus.exoletus,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,4,5,3,6
Cepola.macrophthalma,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,1,0,0,0,0,1,0,1,0,0,3,2,2,5,5
Cereus.pedunculatus,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0,1,0,0,0,0,1,5,2,2,3,1
Chaetopterus.variopedatus,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0.25,0.25,0.5,0,0,0,1,1,0,0,3,2,4,4,1
Chelidonichthys.cuculus,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,6,2,5,5,6
Chelidonichthys.lucerna,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,2,5,5,6
Chrysaora.hysoscella,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,1,2,1,6,3,6
Ciocalypta.penicillus,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3,1,3,3,1
